period_days,duration_hrs,depth_ppm,radius_rearth,impact,teff,logg,st_rad,mission,label
29.1598615,4.803,488.0,1.91,0.3619,5485.0,4.556,0.867,KEPLER,CONFIRMED
1.540397253,2.1541,816.1,25.69,1.225,5663.0,4.53,0.915,KEPLER,FALSE POSITIVE
2.99025443,5.414,589.2,1.7,0.014,4667.0,4.578,0.731,KEPLER,FALSE POSITIVE
1.594745374,1.9604,15044.0,11.3,0.514,5934.0,4.491,0.893,KEPLER,CONFIRMED
4.783002698,2.335,1008.7,2.5,0.003,5170.0,4.574,0.807,KEPLER,CONFIRMED
20.50588921,4.0595,2105.5,3.41,0.26,4905.0,4.544,0.761,KEPLER,CONFIRMED
3.340218842,1.9104,1632.6,2.03,0.466,3950.0,4.754,0.493,KEPLER,CONFIRMED
2.507089906,2.0067,1339.2,30.26,1.255,5926.0,4.506,0.939,KEPLER,FALSE POSITIVE
18.64932728,4.4056,893.6,3.12,0.08,5775.0,4.405,1.053,KEPLER,CONFIRMED
4.90144976,4.1654,140.7,1.7,0.529,5847.0,4.191,1.402,KEPLER,CONFIRMED
9.75192101,4.793,418.0,2.76,0.949,5775.0,4.405,1.053,KEPLER,CONFIRMED
38.5576546,5.794,993.0,4.02,0.911,5775.0,4.405,1.053,KEPLER,CONFIRMED
3.525632539,2.59959,22335.0,11.58,0.12,5150.0,4.572,0.793,KEPLER,CONFIRMED
34.84398644,2.9315,4523.6,7.61,0.934,5509.0,4.482,0.871,KEPLER,CANDIDATE
7.748094239,3.5957,2472.1,5.52,0.517,5973.0,4.439,1.085,KEPLER,CONFIRMED
23.96793669,3.827,1182.3,1.8,0.416,3747.0,4.728,0.524,KEPLER,CONFIRMED
8.29561738,1.3421,824.3,1.82,0.888,3747.0,4.728,0.524,KEPLER,CONFIRMED
8.11437482,2.2736,1558.0,2.1,0.573,3692.0,4.753,0.517,KEPLER,CONFIRMED
38.036729482,4.34617,82872.0,27.5,0.501,5575.0,4.521,0.932,KEPLER,FALSE POSITIVE
4.64090031,35.512,2450.6,30.09,1.28,6463.0,4.5,0.826,KEPLER,CANDIDATE
3.747838198,5.0642,616.0,13.65,1.121,5514.0,4.569,0.826,KEPLER,FALSE POSITIVE
14.74914825,6.0995,430.2,2.89,0.173,5847.0,4.191,1.402,KEPLER,CONFIRMED
